date,cpi_yoy,market_rate,emae_index,policy_rate,rem_12,d_fx,gap,rem_12_raw,cpi_yoy_raw,policy_rate_raw,market_rate_raw,rem_12_lag1,cpi_yoy_lag1,gap_lag1,d_fx_lag1,policy_rate_lag1,market_rate_lag1
2016-12-31,3.529297384289471,3.0385522707369192,147.06290214119002,3.248434627109745,3.0252910757955354,0.06311139370098422,0.4945592904124999,19.6,33.1,24.75,19.875,3.044522437723423,3.629660094453965,-0.5597148835160526,4.321859302583893,3.248434627109745,3.062222014822824
2017-01-31,3.4307561839036995,3.0143086591269266,147.27591077177092,3.248434627109745,3.0301337002713233,0.37783420264059,0.7403287942317235,19.7,29.9,24.75,19.375,3.0252910757955354,3.529297384289471,0.4945592904124999,0.06311139370098422,3.248434627109745,3.0385522707369192
2017-02-28,3.40452517175483,3.0534113851406692,146.93039201550872,3.248434627109745,3.0204248861443626,-2.8691799190419545,0.6048142881915506,19.5,29.1,24.75,20.1875,3.0301337002713233,3.4307561839036995,0.7403287942317235,0.37783420264059,3.248434627109745,3.0143086591269266
2017-03-31,3.3775875160230218,2.9988524008902346,147.79482112294343,3.248434627109745,2.9652730660692823,-0.5188079081777944,1.2990727241156883,18.4,28.3,24.75,19.0625,3.0204248861443626,3.40452517175483,0.6048142881915506,-2.277315120180965,3.248434627109745,3.0534113851406692
2017-04-30,3.3463891451671604,3.044522437723423,147.6268781501468,3.305053521109253,2.917770732084279,0.32457022975715555,1.2872647073212748,17.5,27.4,26.25,20.0,2.9652730660692823,3.3775875160230218,1.2990727241156883,-0.5188079081777944,3.248434627109745,2.9988524008902346
2017-05-31,3.2188758248682006,3.0474942081125804,148.52884126467694,3.305053521109253,2.8903717578961645,4.498699646673342,2.011167076519357,17.0,24.0,26.25,20.0625,2.917770732084279,3.3463891451671604,1.2872647073212748,0.32457022975715555,3.305053521109253,3.044522437723423
2017-06-30,3.126760535960395,3.0504571732432377,150.17286846014534,3.305053521109253,2.8903717578961645,2.8102032520694866,3.2477444952359797,17.0,21.8,26.25,20.125,2.8903717578961645,3.2188758248682006,2.011167076519357,4.498699646673342,3.305053521109253,3.0474942081125804
2017-07-31,3.109060958860994,3.076736057707078,150.44288409535577,3.305053521109253,2.89591193827178,6.246559096910753,3.5422997045171116,17.1,21.4,26.25,20.6875,2.8903717578961645,3.126760535960395,3.2477444952359797,2.8102032520694866,3.305053521109253,3.0504571732432377
2017-08-31,3.169685580677429,3.0995290672356344,150.42119077762925,3.305053521109253,2.9014215940827497,-1.7123706078591514,3.6375753902149115,17.2,22.8,26.25,21.1875,2.89591193827178,3.109060958860994,3.5422997045171116,6.246559096910753,3.305053521109253,3.076736057707078
2017-09-30,3.2108436531709366,3.1245651453969594,151.22863619142828,3.305053521109253,2.884800712846709,-0.28826771187244915,4.306009760948524,16.9,23.8,26.25,21.75,2.9014215940827497,3.169685580677429,3.6375753902149115,-1.7123706078591514,3.305053521109253,3.0995290672356344
2017-10-31,3.1654750481410856,3.1463051320333655,151.70547078085093,3.3586377672433594,2.9069010598473755,2.0006383197316007,4.748666266270726,17.3,22.7,27.75,22.25,2.884800712846709,3.2108436531709366,4.306009760948524,-0.28826771187244915,3.305053521109253,3.1245651453969594
2017-11-30,3.152736022363656,3.190990621378665,152.50540710970964,3.392829131991639,2.917770732084279,-1.6548166494359207,5.4166203813945994,17.5,22.4,28.75,23.3125,2.9069010598473755,3.1654750481410856,4.748666266270726,2.0006383197316007,3.3586377672433594,3.1463051320333655
2017-12-31,3.250374491927572,3.188416617383492,152.1934033449549,3.392829131991639,2.91235066461494,7.693973076117157,5.317480733098351,17.4,24.8,28.75,23.25,2.917770732084279,3.152736022363656,5.4166203813945994,-1.6548166494359207,3.392829131991639,3.190990621378665
