date,cpi_yoy,target,cpi_log_return_1_months,cpi_log_return_6_months,cpi_log_return_12_months,rem_1_months,rem_6_months,rem_12_months,nlp_pred
2018-06-30,0.258510695151501,0.13082503102677973,0.025020851783147002,0.036968425204265076,0.061300525863795724,-0.03300098261895043,-0.06112554854133126,-0.04020642047804057,0.006661975758091059
2018-07-31,0.27155269052189734,0.1292348280351559,0.013041995370396353,0.04840913920768758,0.07763199788459085,-0.04178771164021397,-0.05255725073867609,-0.03606260802172617,0.003453585373587996
2018-08-31,0.2956502421009577,0.11844419270526113,0.02409755157906035,0.06931179989022873,0.09026341237600699,-0.05886359711154643,-0.06421959273429384,-0.04667513857012989,0.0031045251414059515
2018-09-30,0.3400373027857091,0.09628026880522006,0.0443870606847514,0.11369886057498013,0.12654012852330473,-0.021813576471229834,-0.06252035698133404,-0.057348491772472976,0.0019544366099241662
2018-10-31,0.37775126954064864,0.06565167790790777,0.03771396675493954,0.15061569695690152,0.17317910381187435,-0.06316342905053157,-0.0599276535998407,-0.045007596057435845,0.004387452414064044
2018-11-30,0.39541477225466287,0.05756985182147789,0.017663502714014234,0.16192492888630888,0.19329058816452854,-0.1107822386864093,-0.03300098261895043,-0.04085603649401201,0.004387452414064044
2018-12-31,0.3893357261782807,0.05406722127027569,-0.006079046076382155,0.13082503102677973,0.1677934562310448,-0.1438781464392352,-0.04178771164021397,-0.06112554854133126,0.004952685545395774
2019-01-31,0.40078751855705325,0.03358893304553123,0.01145179237877253,0.1292348280351559,0.17764396724284348,-0.13702179756429117,-0.05886359711154643,-0.05255725073867609,0.005532688837259613
2019-02-28,0.4140944348062188,0.020929475543489895,0.013306916249165579,0.11844419270526113,0.18775599259548986,-0.1500288002098702,-0.021813576471229834,-0.06421959273429384,0.005532688837259613
2019-03-31,0.43631757159092915,-0.007787190551768575,0.02222313678471033,0.09628026880522006,0.2099791293802002,-0.15945221643263807,-0.06316342905053157,-0.06252035698133404,0.00492191749963332
2019-04-30,0.4434029474485564,-0.034610049247717434,0.007085375857627252,0.06565167790790777,0.2162673748648093,-0.1685831369488443,-0.1107822386864093,-0.0599276535998407,0.0044092824159095425
2019-05-31,0.45298462407614076,-0.033616610798985036,0.009581676627584357,0.05756985182147789,0.21949478070778677,-0.17032702738613759,-0.1438781464392352,-0.03300098261895043,0.0018295888767773361
2019-06-30,0.4434029474485564,-0.012920076365104283,-0.009581676627584357,0.05406722127027569,0.18489225229705541,-0.18295748686308055,-0.13702179756429117,-0.04178771164021397,0.0018295888767773361
